,Size_Index,BM_Ratio_Index,Momentum_Index,ESG Rating,Abnormal Return,Month
0,1,1.0,1.0,Leader,4.016666666666669,Jul
1,1,1.0,2.0,Leader,17.636363636363633,Jul
2,1,1.0,3.0,Leader,4.866666666666664,Jul
3,1,1.0,4.0,Leader,8.445454545454545,Jul
4,1,1.0,5.0,Leader,89.55,Jul
6,1,2.0,2.0,Leader,3.5727272727272723,Jul
11,1,3.0,2.0,Leader,5.372727272727273,Jul
14,1,3.0,5.0,Leader,9.583333333333334,Jul
22,1,5.0,3.0,Leader,5.491666666666667,Jul
26,2,1.0,2.0,Leader,0.8545454545454554,Jul
27,2,1.0,3.0,Leader,10.149999999999999,Jul
28,2,1.0,4.0,Leader,-3.663636363636363,Jul
30,2,2.0,1.0,Leader,1.0166666666666664,Jul
31,2,2.0,2.0,Leader,-1.3136363636363635,Jul
33,2,2.0,4.0,Leader,4.231818181818181,Jul
37,2,3.0,3.0,Leader,-9.15,Jul
38,2,3.0,4.0,Leader,-5.090909090909091,Jul
39,2,3.0,5.0,Leader,4.300000000000001,Jul
44,2,4.0,5.0,Leader,18.53333333333333,Jul
47,2,5.0,3.0,Leader,0.7666666666666668,Jul
50,3,1.0,1.0,Leader,-6.016666666666665,Jul
51,3,1.0,2.0,Leader,8.472727272727273,Jul
55,3,2.0,1.0,Leader,5.491666666666667,Jul
57,3,2.0,3.0,Leader,-3.1363636363636376,Jul
59,3,2.0,5.0,Leader,0.1416666666666675,Jul
60,3,3.0,1.0,Leader,6.983333333333333,Jul
61,3,3.0,2.0,Leader,2.5666666666666664,Jul
72,3,5.0,3.0,Leader,2.783333333333333,Jul
75,4,1.0,1.0,Leader,3.166666666666667,Jul
76,4,1.0,2.0,Leader,-4.00909090909091,Jul
77,4,1.0,3.0,Leader,-2.925,Jul
78,4,1.0,4.0,Leader,3.8545454545454554,Jul
79,4,1.0,5.0,Leader,-5.283333333333333,Jul
80,4,2.0,1.0,Leader,13.766666666666667,Jul
81,4,2.0,2.0,Leader,2.3000000000000007,Jul
82,4,2.0,3.0,Leader,2.3545454545454536,Jul
83,4,2.0,4.0,Leader,-0.8499999999999996,Jul
84,4,2.0,5.0,Leader,6.4833333333333325,Jul
85,4,3.0,1.0,Leader,-6.933333333333332,Jul
86,4,3.0,2.0,Leader,-3.1545454545454534,Jul
87,4,3.0,3.0,Leader,-3.968181818181817,Jul
88,4,3.0,4.0,Leader,-0.5136363636363619,Jul
89,4,3.0,5.0,Leader,9.21666666666667,Jul
92,4,4.0,3.0,Leader,-3.1636363636363627,Jul
93,4,4.0,4.0,Leader,2.4954545454545443,Jul
94,4,4.0,5.0,Leader,2.116666666666667,Jul
95,4,5.0,1.0,Leader,4.324999999999999,Jul
97,4,5.0,3.0,Leader,-3.9999999999999996,Jul
98,4,5.0,4.0,Leader,-3.5599999999999996,Jul
99,4,5.0,5.0,Leader,1.8000000000000007,Jul
100,5,1.0,1.0,Leader,9.125000000000002,Jul
101,5,1.0,2.0,Leader,-1.9272727272727268,Jul
102,5,1.0,3.0,Leader,1.7416666666666671,Jul
103,5,1.0,4.0,Leader,-1.76969696969697,Jul
104,5,1.0,5.0,Leader,-1.7499999999999998,Jul
105,5,2.0,1.0,Leader,4.708333333333334,Jul
106,5,2.0,2.0,Leader,1.2393939393939384,Jul
107,5,2.0,3.0,Leader,-2.393181818181818,Jul
108,5,2.0,4.0,Leader,-1.6409090909090924,Jul
109,5,2.0,5.0,Leader,1.0416666666666665,Jul
110,5,3.0,1.0,Leader,1.5666666666666667,Jul
111,5,3.0,2.0,Leader,6.55909090909091,Jul
112,5,3.0,3.0,Leader,-2.0757575757575757,Jul
113,5,3.0,4.0,Leader,1.541558441558439,Jul
114,5,3.0,5.0,Leader,-3.099999999999998,Jul
115,5,4.0,1.0,Leader,-0.48461538461538434,Jul
116,5,4.0,2.0,Leader,-0.7000000000000002,Jul
118,5,4.0,4.0,Leader,6.793181818181816,Jul
119,5,4.0,5.0,Leader,-0.3749999999999991,Jul
120,5,5.0,1.0,Leader,-7.516666666666667,Jul
121,5,5.0,2.0,Leader,0.15454545454545432,Jul
122,5,5.0,3.0,Leader,2.7333333333333334,Jul
123,5,5.0,4.0,Leader,-3.786363636363636,Jul
124,5,5.0,5.0,Leader,-3.0249999999999986,Jul
125,1,1.0,1.0,Laggard,-2.466666666666665,Jul
126,1,1.0,2.0,Laggard,-5.913636363636366,Jul
128,1,1.0,4.0,Laggard,-3.5045454545454557,Jul
129,1,1.0,5.0,Laggard,5.6249999999999964,Jul
130,1,2.0,1.0,Laggard,4.383333333333335,Jul
131,1,2.0,2.0,Laggard,3.539393939393938,Jul
132,1,2.0,3.0,Laggard,0.7242424242424237,Jul
133,1,2.0,4.0,Laggard,-4.4,Jul
134,1,2.0,5.0,Laggard,4.8500000000000005,Jul
135,1,3.0,1.0,Laggard,-10.791666666666668,Jul
136,1,3.0,2.0,Laggard,-3.493939393939394,Jul
137,1,3.0,3.0,Laggard,-0.029545454545453875,Jul
138,1,3.0,4.0,Laggard,-0.019999999999998685,Jul
139,1,3.0,5.0,Laggard,0.5633333333333348,Jul
140,1,4.0,1.0,Laggard,15.833333333333336,Jul
141,1,4.0,2.0,Laggard,0.8522727272727273,Jul
142,1,4.0,3.0,Laggard,-5.433333333333334,Jul
143,1,4.0,4.0,Laggard,-3.415151515151515,Jul
144,1,4.0,5.0,Laggard,-6.166666666666667,Jul
145,1,5.0,1.0,Laggard,3.625,Jul
146,1,5.0,2.0,Laggard,0.20757575757575786,Jul
147,1,5.0,3.0,Laggard,-1.6250000000000002,Jul
148,1,5.0,4.0,Laggard,-2.4927272727272722,Jul
149,1,5.0,5.0,Laggard,-2.241666666666669,Jul
150,2,1.0,1.0,Laggard,-4.091666666666667,Jul
151,2,1.0,2.0,Laggard,-5.395454545454545,Jul
152,2,1.0,3.0,Laggard,-12.750000000000002,Jul
153,2,1.0,4.0,Laggard,-7.5636363636363635,Jul
154,2,1.0,5.0,Laggard,1.641666666666667,Jul
155,2,2.0,1.0,Laggard,0.716666666666667,Jul
156,2,2.0,2.0,Laggard,5.236363636363637,Jul
157,2,2.0,3.0,Laggard,13.56060606060606,Jul
158,2,2.0,4.0,Laggard,-2.618181818181818,Jul
159,2,2.0,5.0,Laggard,-11.191666666666666,Jul
160,2,3.0,1.0,Laggard,4.183333333333333,Jul
161,2,3.0,2.0,Laggard,-4.3583333333333325,Jul
162,2,3.0,3.0,Laggard,5.8999999999999995,Jul
163,2,3.0,4.0,Laggard,-4.49090909090909,Jul
164,2,3.0,5.0,Laggard,-2.8499999999999983,Jul
165,2,4.0,1.0,Laggard,-3.16,Jul
166,2,4.0,2.0,Laggard,-7.9,Jul
167,2,4.0,3.0,Laggard,1.4350000000000005,Jul
168,2,4.0,4.0,Laggard,-4.709090909090909,Jul
169,2,4.0,5.0,Laggard,-16.166666666666668,Jul
170,2,5.0,1.0,Laggard,-0.4083333333333323,Jul
171,2,5.0,2.0,Laggard,0.44090909090909103,Jul
172,2,5.0,3.0,Laggard,1.916666666666667,Jul
174,2,5.0,5.0,Laggard,-5.573333333333334,Jul
175,3,1.0,1.0,Laggard,-3.683333333333331,Jul
176,3,1.0,2.0,Laggard,-6.827272727272727,Jul
177,3,1.0,3.0,Laggard,8.299999999999999,Jul
178,3,1.0,4.0,Laggard,4.331818181818182,Jul
179,3,1.0,5.0,Laggard,2.841666666666667,Jul
181,3,2.0,2.0,Laggard,7.309090909090909,Jul
182,3,2.0,3.0,Laggard,-4.536363636363637,Jul
183,3,2.0,4.0,Laggard,-0.5060606060606059,Jul
184,3,2.0,5.0,Laggard,22.99166666666666,Jul
185,3,3.0,1.0,Laggard,-4.966666666666667,Jul
186,3,3.0,2.0,Laggard,1.6500000000000004,Jul
187,3,3.0,3.0,Laggard,-2.9431818181818183,Jul
189,3,3.0,5.0,Laggard,1.8833333333333364,Jul
190,3,4.0,1.0,Laggard,-3.3500000000000005,Jul
191,3,4.0,2.0,Laggard,-0.8409090909090915,Jul
192,3,4.0,3.0,Laggard,-1.136363636363634,Jul
193,3,4.0,4.0,Laggard,-4.193939393939394,Jul
194,3,4.0,5.0,Laggard,-6.416666666666665,Jul
195,3,5.0,1.0,Laggard,-8.566666666666666,Jul
197,3,5.0,3.0,Laggard,1.6833333333333327,Jul
198,3,5.0,4.0,Laggard,2.075757575757576,Jul
199,3,5.0,5.0,Laggard,-7.433333333333337,Jul
200,4,1.0,1.0,Laggard,-14.133333333333333,Jul
201,4,1.0,2.0,Laggard,-7.809090909090909,Jul
203,4,1.0,4.0,Laggard,1.0545454545454547,Jul
204,4,1.0,5.0,Laggard,-8.483333333333334,Jul
206,4,2.0,2.0,Laggard,-1.9999999999999996,Jul
207,4,2.0,3.0,Laggard,7.254545454545454,Jul
208,4,2.0,4.0,Laggard,9.299999999999999,Jul
210,4,3.0,1.0,Laggard,3.4000000000000012,Jul
212,4,3.0,3.0,Laggard,-13.718181818181817,Jul
213,4,3.0,4.0,Laggard,10.903030303030306,Jul
214,4,3.0,5.0,Laggard,-4.333333333333332,Jul
215,4,4.0,1.0,Laggard,0.16666666666666696,Jul
216,4,4.0,2.0,Laggard,0.8999999999999995,Jul
217,4,4.0,3.0,Laggard,0.1363636363636367,Jul
218,4,4.0,4.0,Laggard,1.7454545454545451,Jul
220,4,5.0,1.0,Laggard,-6.608333333333333,Jul
221,4,5.0,2.0,Laggard,-0.9636363636363637,Jul
222,4,5.0,3.0,Laggard,0.75,Jul
223,4,5.0,4.0,Laggard,1.1900000000000004,Jul
224,4,5.0,5.0,Laggard,-5.499999999999998,Jul
225,5,1.0,1.0,Laggard,8.991666666666667,Jul
226,5,1.0,2.0,Laggard,-8.527272727272727,Jul
227,5,1.0,3.0,Laggard,7.541666666666667,Jul
228,5,1.0,4.0,Laggard,-1.4363636363636363,Jul
229,5,1.0,5.0,Laggard,9.1,Jul
